AuthorID,Author,Date,Content,Attachments,Reactions
"705249468928360609","eiger415","2025-04-01T17:13:45.6560000-07:00","> **And the story continues…**","",""
"705249468928360609","eiger415","2025-04-01T17:13:49.4090000-07:00",">>> *In the first hour of evening Aillig studies his cube.  Ra’vek and Quinn only saw a flash of it when he found it, but it’s new to Cala and Darias.*

*Everyone can see it’s a compact, intricately crafted cube roughly 5” on each side with an exterior of polished brass and dark wood. Small geometric patterns are etched in the sides and tiny, arcane runes pulse faintly into view when touched. The occasional whirr of hidden gears can be heard from within.*

*As Aillig turns the cube over and over in careful study, the ancient design is unlike anything you’ve seen and it resists all attempts to open.  After nearly an hour of twisting and testing you’re about to give up when you finally discover something!  If you press a specific sequence of runes on one side, a tiny hole opens on the opposite side. Perhaps the cube just needs a key now… or the right tool for the job.*
(What do you do?)","",""
"336938667971051531","sinforge.","2025-04-02T11:48:41.7470000-07:00","*After closely examining the revealed hole for some time, Aillig pulls out a series of different tool kits and spreads them out in front of him. Over the course of the next hour he uses a series of increasingly fine tools to assemble an wide variety of bits and bobs into a single purpose tool. Straightening up and messaging his tired eyes, his body reveals the tool as he leans back. Sitting on a cloth on his lap next to the cube is an object that resembles nothing so much as an overdesigned, intricate corkscrew.*","",""
"705249468928360609","eiger415","2025-04-02T20:09:46.6680000-07:00","> *Aillig feels a sense of accomplishment and exhaustion from this mental effort in top of the day’s long journey.  He’s posed to continue studying the cube, but it’s getting mighty cold and the rest of the party has already fallen asleep in their bedrolls.*
(Do you continue- risking exhaustion the next day?)","",""
"336938667971051531","sinforge.","2025-04-02T21:08:08.8300000-07:00","“No risk, no reward” *Aillig thinks to himself. He stretches, working out the kinks in his joints before returning to his study of the cube*","",""
"705249468928360609","eiger415","2025-04-02T21:36:15.9320000-07:00","> *Aillig begins to feel the effects of the long day wearing on his body.*
(Con Save please)","",""
"336938667971051531","sinforge.","2025-04-02T21:45:28.1870000-07:00","!s con flashg","",""
"261302296103747584","Avrae#6944","2025-04-02T21:45:28.6930000-07:00","Error evaluating expression: cc_exists is not defined","",""
"261302296103747584","Avrae#6944","2025-04-02T21:46:19.6340000-07:00","","",""
"261302296103747584","Avrae#6944","2025-04-02T21:46:33.6410000-07:00","","","🎉 (1)"
"705249468928360609","eiger415","2025-04-02T21:52:20.5790000-07:00",">>> *Aillig shakes off a shiver of cold and refocuses on the cube trying to figure out exactly how to use his new tool.*
(Investigation check please)","",""
"261302296103747584","Avrae#6944","2025-04-03T01:10:35.4110000-07:00","","",""
"261302296103747584","Avrae#6944","2025-04-03T01:10:59.3250000-07:00","","","🔥 (2),🎉 (1),✨ (1)"
"697804343050764289","justjohn4242","2025-04-03T07:14:53.5620000-07:00","*As Darias was preparing his tent and bedroll he noticed the strange looking cube.*

“That is an interesting object Aillig. Does it relate to the seed?”","",""
"336938667971051531","sinforge.","2025-04-03T07:18:08.4440000-07:00","*Not looking up from his work, Aillig responds a little absently,* ""I found it apart from the seed, though in an area not far from where we fought the druid and the plant. I don't know that there is a direct connection, but I have hope that it may prove useful to our ends... If I can get inside anyway...""","",""
"697804343050764289","justjohn4242","2025-04-03T07:20:48.1680000-07:00","*Pandora gets interested in a box that can’t open too…*

“…”

“Aillig if you need an extra bit of help Pandora is happy to lend some ingenuity.”","",""
"336938667971051531","sinforge.","2025-04-03T07:24:50.3570000-07:00","“I would be happy to have assistance from such a clever kitty” *He replies, squinting at the hole*","",""
"697804343050764289","justjohn4242","2025-04-03T07:28:37.8330000-07:00","*While Darias sets up for the night and begins meditating, Pandora flies one loop de loop and then carefully walk over to where she can see the cube and Aillig’s work*","",""
"705249468928360609","eiger415","2025-04-03T14:42:09.1490000-07:00",">>> *Aillig spends another hour successfully completing a very detailed investigation of the cube.  There is indeed a subtle pattern and several mechanisms for manipulating the box's components. You’ve determined that not only will you need to use your tool for precise twists, pulls, and pushes, the cube unveils hidden runes during the process that will need to to be pressed in a precise order. Someone clearly didn’t want to make this easy.*

*Your challenge now is the box keeps resetting just as you’re about to perform what you believe is the final step.  It apparently has a timer built in that resets the box.  You’ve been moving too slow.*

(Do you spend more time on the cube risking another con save?)","",""
"261302296103747584","Avrae#6944","2025-04-03T15:08:17.5100000-07:00","","",""
"261302296103747584","Avrae#6944","2025-04-03T15:08:29.5100000-07:00","","",""
"336938667971051531","sinforge.","2025-04-03T15:08:39.8890000-07:00","*Aillig decides to push on with his investigations.*","",""
"705249468928360609","eiger415","2025-04-03T15:10:41.6170000-07:00","> *The cold and fatigue is finally getting to Aillig.  He’s exhausted, but he pushes through enough for a final attempt to open the cube.*
(Add 1 level of exhaustion)
(Sleight of hand check)","",""
"261302296103747584","Avrae#6944","2025-04-03T15:12:34.6090000-07:00","","",""
"705249468928360609","eiger415","2025-04-03T15:13:58.5390000-07:00","> *Aillig tries again but is unable to move his frozen fingers fast enough.  The box remains closed, but Aillig knows what must be done.*","",""
"336938667971051531","sinforge.","2025-04-03T15:19:49.1120000-07:00","""I'm sorry friends, sometimes I don't know when to stop for my own good when I get my teeth into something. If you are willing to delay our departure, a bit of a longer rest should put me back to top capabilities.""","",""
"705249468928360609","eiger415","2025-04-03T15:45:38.5360000-07:00","> *Says Aillig to the wind.*
(Are you waking someone up?)","",""
"261302296103747584","Avrae#6944","2025-04-03T15:48:23.1110000-07:00","","",""
"336938667971051531","sinforge.","2025-04-03T15:52:52.8230000-07:00","*Realizing in his exhaustion that he was just addressing a bunch of sleeping beings, Aillig pulls out his sleeping bad and tinkers with it, until after a few minutes there is a visual static effec"" Stating: 'Like at school up late working on project. Wake if you must, but would prefer delayed start.' display ed across it. With that completed he lays down and immediately falls asleep.*","","✨ (1)"
"705249468928360609","eiger415","2025-04-03T16:02:08.3840000-07:00","> *The morning comes early for most of you… except Aillig who’s still buried in his rug sack.  You easily notice his little sign*
(what do you do?)","",""
"297867642083999744","pumpkincup","2025-04-03T17:39:26.2260000-07:00","*Waking up to face the day, Quinn stretches per usual and begins to pack up her things when she notices something near Aillig. She turns her gaze and finds a eloquent note on his bed. It takes biting her tongue to not be tempted to do exactly the opposite of what it asked. She rolls up her own bed as quietly as possible to reattach it to her bag before grabbing her bracers she finished prior. It was a new day, and the first time she had ever crafted something for herself out of want, rather than necessity. She ties them on, using her teeth to help, and makes sure they are comfortable before she does the rest of her silent prep for the day ahead.*","",""
"697804343050764289","justjohn4242","2025-04-03T20:28:33.9580000-07:00","*Pandora did hear Aillig and as Darias wakes he is telepathically informed to keep quiet and let Aillig rest for longer*","",""
"697804343050764289","justjohn4242","2025-04-03T20:31:22.3040000-07:00","*Darias moves with a fair degree of stealth for such a tall being, and doesn't want to wake him too soon. Pandora said he was working on something interesting.*","",""
"261302296103747584","Avrae#6944","2025-04-03T21:59:15.0970000-07:00","","","👀 (1),😶‍🌫️ (1),🕶️ (1),⛈️ (1),🌑 (1)"
"705249468928360609","eiger415","2025-04-03T22:01:21.1680000-07:00","> *You all spend the the early hours of the morning relaxing as Aillig sleeps.  The sky is clear and for the first time you can see the summit towering overhead.*
(it’s mid-morning, what do you do?)","",""
"336938667971051531","sinforge.","2025-04-04T04:00:04.5980000-07:00","*Waking late but rested, Aillig reflects on past and future and pulls out his tools. Also removing a set of heavier but oddly comfortable looking armor, he spends a few minutes placing the finishing touches on a set of sigils etched into the breastplate. Finished, he quickly dons the new armor and puts the heavy winter wear back on.*

*Packing away his gear he hesitates for a moment looking at the cube, studying it again. After a moment he pulls out his drawing kit and sets down a couple of experimental sigils based on some of the symbols on the cube and seals away in cases for later use.*","",""
"705249468928360609","eiger415","2025-04-04T05:01:54.0340000-07:00","*Ra’vek walks up to Aillig.*
**“Late night, eh?  Was it productive?”**","",""
"697804343050764289","justjohn4242","2025-04-04T05:39:12.5860000-07:00","*Darias spends some of the quiet morning time meditating on his dream of balance and taking stock of his abilities and plans. He will summon Cinder after assessing the threat level, and especially when it’s remarkable mobility will be needed. 

Darias puts his armor, the beetle carapace breastplate, on. This is now enspelled to help protect Darias.*

“Pandora was impressed with your investigivive work last night Aillig”","",""
"336938667971051531","sinforge.","2025-04-04T05:40:47.4170000-07:00","“I’m close. I know *how* to get it open, but in this cold and staying up later than advisable, the physical” *he holds up his hands* “could not complete what the mind envisioned.”","",""
"336938667971051531","sinforge.","2025-04-04T05:41:30.6480000-07:00","“Another night perhaps when I am fresher will see the deed done”","",""
"705249468928360609","eiger415","2025-04-04T05:45:29.1090000-07:00","*Ra smiles - glad to see his friend making progress.*
**“I’m sure you’ll get it figured out.  You got waay more talent… and patience than I do.”**

*He cocks his head slightly, looking to see if Aillig has his gear close at hand.*
**Mind if we pull out that map again?  Looks like me may actually see something today.”**

*Ra gestures up to the open sky, smiling once more.*","",""
"697804343050764289","justjohn4242","2025-04-04T05:45:57.8210000-07:00","“Pandora can be of assistance, she’s ingenious. 

And while I haven’t the mind for what you’re doing i can offer Guidance magic to help”","",""
"705249468928360609","eiger415","2025-04-04T05:49:44.2780000-07:00","*Ra’vek listens in to Darias explaining Pandora’s and his capabilities.*
**“Where does your guidance come from?”**","",""
"336938667971051531","sinforge.","2025-04-04T05:50:48.0880000-07:00","*Aillig nods in thanks .* “Any help for the next attempt will be greatly appreciated. I can see in my mind what needs be done. But sometimes my fingers are not as deft when not handling a tool.”","",""
"697804343050764289","justjohn4242","2025-04-04T05:51:50.4140000-07:00","“Guidance comes from my druidry. It’s a way of finding the natural flow of a thing and helping a bit to make it so.”","",""
"697804343050764289","justjohn4242","2025-04-04T05:54:46.1600000-07:00","“Aillig, feel free to just ask and I shall offer what help I can. Guidance only take a bit of concentration so I can lend it many times”","",""
"705249468928360609","eiger415","2025-04-04T06:09:55.5100000-07:00","**“Interesting. If you don’t mind me asking, did your druidry come along with your pact?  Or is that something you’ve been studying?  I’m not very familiar with druids… other than what I’ve seen here on the province.""**","",""
"353773001822437378","foxbitten","2025-04-04T06:12:30.7170000-07:00","*Cala is still asleep in his sack as well, one boot sticking out of the flour sack*","","💤 (2)"
"697804343050764289","justjohn4242","2025-04-04T06:30:32.4190000-07:00","""I think I was born with a connection to druidry... at least I seem to always have some spark that I know understand. Cinder is a wildfire elemental spirit and somehow was connected to me. Of course, as a child neither I nor my parent knew. I was... a little wild myself. If I wasn't working in the forge as an apprentice smith then I was out causing mischief.

A wandering druid saw something in my and taught me the beginnings of druidry, of the Circle of the Wildfire. This brings both healing magics and destructive fire magics together.

My pact... that was later. After I was able to commune with Cinder and summon it into this reality then I dove deeply into fire magics. It was in that way that I made contact with fire elemental plane just briefly. My pact enables me to add some fire magic woven into the spells I cast, and there is more potential yet to discover.""","",""
"705249468928360609","eiger415","2025-04-04T06:35:55.2300000-07:00","**“Thank you for sharing. Do you… have a way to contact your teacher or Circle?  Or like many of us, are you here on somewhat of a solo mission?”** *Asks Ra’vek in a curious tone.*","",""
"697804343050764289","justjohn4242","2025-04-04T06:39:34.8260000-07:00","""Master Karrig, he was my teacher and Druid of the Wildfire Circle. I don't have a way to reach him, no. The Wildfire circle is perhaps less connected than most circles, it seems to me that those called to it are more go their own way and less organize a circle.""

""And what of yourself? Are you solo or more connected with your teacher or patron?""","",""
"705249468928360609","eiger415","2025-04-04T07:26:39.3620000-07:00","*Ra’vek let’s out a short chuckle.* **“Teacher is… a bit generous for my story… but I’m happy to share the tale.  Perhaps on our hike though, eh?”**

*Ra looks up to the sun’s position.* **“We’re already a few hours into the day and will be challenged to clear the summit by nightfall.”**

*He looks over to Quinn.*
**“Would you mind waking our sleeping friend?  We should probably start packing up.”**","",""
