"SESSION_NUM","SESSION_TYPE","LOCATION_NAME","SESSION_TITLE"
"0","EXPLORATION","East Island: Autumnal Forest","Whispers in the Mist: Butterfly Dragons Emerge"
"10","EXPLORATION","East Island: Cold Jungle Floor","Geothermal Sanctuary: Luminous Pursuit Through Thorns"
"20","BATTLE","East Island: Cold Jungle Floor","Wisp Wars: Predator Falls to Vengeful Blades"
"30","EXPLORATION","East Island: Cold Jungle Floor","Hidden Path Over the Mountain: Ancient Route Beckons"
"40","EXPLORATION","East Island: Verdant Hills","Ankheg Ambush: Shortcut to Danger"
"50","BATTLE","East Island: Verdant Hills","Insect Swarm: Chitinous Foes Meet Fiery Doom"
"60","EXPLORATION","East Island: Verdant Hills","Goblin Guide: Subterranean Secrets Await Below"
"70","EXPLORATION","East Island: Woodlands","Arachnid Territory: Silken Traps Block the Trail"
"80","BATTLE","East Island: Woodlands","Silvery Lightning: Arachnids Meet Electric Judgment"
"90","EXPLORATION","East Island: Woodlands","Silken Harvest: Shots in the Dark"
"100","EXPLORATION","South Island: Swamp","Fetid Bog: Slavering Undead Rise from Murky Waters"
"110","BATTLE","South Island: Swamp","Ghoul Massacre: Caustic Brew Melts Rotting Flesh"
"120","EXPLORATION","South Island: Swamp","Mirewatch Outpost: Weary Travelers Seek Dry Haven"
"130","EXPLORATION","South Island: Mirewatch Outpost","Mirewatch: Beyond the Reeds"
"140","EXPLORATION","South Island: Mirewatch Outpost - The Muddy Pitch","Mirewatch Respite: Comfort Above the Muck"
"150","EXPLORATION","South Island: Mirewatch Outpost - The Muddy Pitch (Card Game)","Cardshark's Gambit: Fortune Favors the Bold"
"160","EXPLORATION","South Island: Mirewatch Outpost - The Muddy Pitch","Table Talk: Lands and Rings of Curiosity"
"170","EXPLORATION","South Island: Swamp","Snakewood Convergence: Matted Beasts Dig for Secrets"
"180","BATTLE","South Island: Swamp","Tusk Rampage: Rooted Beasts Charge Through Mire"
"190","EXPLORATION","South Island: Swamp","Thunderstruck Grove: Flames Dance in Darkening Canopy"
"200","BATTLE","South Island: Swamp","Shambling Mound Siege: Engulfed Allies Face Verdant Doom"
"210","EXPLORATION","South Island: Swamp","Saba's Solitude: Goblin Vanishes Into Swampland Depths"
"220","NPC ENCOUNTER","South Island: Swamp - Feligrinn's Home","Feligrinn's Quest: Stolen Trinket Sparks Heroic Mission"
"230","EXPLORATION","South Island: Swamp","Verdant Puppet: Parasitic Roots Claim Their Host"
"240","BATTLE","South Island: Swamp","Blightborn Chant: Flesh for Root, Blood for Bloom"
"250","EXPLORATION","South Island: Swamp","Toxic Embrace: Parasitic Vines Claim Their Victim"
"260","NPC ENCOUNTER","South Island: Swamp - Feligrinn's Home","Feligrinn's Feathers: Crimson Gratitude Sparks New Quest"
"270","BATTLE","South Island: Swamp","Mirage Assault: Twisted Reflections Strike at Dawn"
"280","EXPLORATION","South Island: Swamp","Hornet Exodus: Narrow Escape to Higher Ground"
"290","BATTLE","South Island: Swamp - Oona's Hilltop","Truth Revealed: Sporion's Last Stand"
"300","EXPLORATION","South Island: Swamp - Oona's Hilltop","Oona's Hut: Secrets Emerge from Elven Shadows"
"310","EXPLORATION","West Island: Inundated Plains","Sunken Ruins: Spectral Guardian Awakens Below"
"320","BATTLE","West Island: Inundated Plains","Revenant's Wrath: Undead Fury Meets Radiant Justice"
"330","EXPLORATION","West Island: Inundated Plains","Arcane Workshop: Brass Cube Hidden in Stone Nook"
"340","EXPLORATION","West Island: Ifol Canyon","Canyon Depths: Gentle Giants Guard the Waterway"
"350","EXPLORATION","West Island: Lake Ifol","Lake Ifol: Melodic Bubbles Rise from Crystal Depths"
"360","EXPLORATION","West Island: Calamari Cove Outpost","Coves Edge: Heroes Respite"
"370","EXPLORATION","East Island: City of Lights - The Borealis","Truth Revealed: It's all in the Eyes"
"380","NPC ENCOUNTER","East Island: City of Lights - Temple","Aleksandra's Corner: Looking for a Clue"
"390","EXPLORATION","East Island: City of Lights - The Caravansary","Dawn of a New Day: Darias joins the Party"
"400","EXPLORATION","East Island: Autumnal Forest","Basilisk's Tale: Riverside Melody Reveals Hidden Tracker"
"410","EXPLORATION","East Island: Autumnal Forest - Riverside","River Walk: Stories of the Past"
"415","NPC ENCOUNTER","East Island: Autumnal Forest - Riverside","Sky Thief: Traps and Trades"
"420","BATTLE","East Island: Autumnal Forest - Riverside","Big Snapper: Jaws from the Deep"
"430","NPC ENCOUNTER","East Island: Autumnal Forest - Riverside","Krip-Krip's Debt: Finger-Loop Peace Offering"
"440","EXPLORATION","East Island: Autumnal Forest - Crimson Grove","Sylvan Riddle: Enchanted Grove Reveals Hidden Passage"
