"SESSION_NUM","THREAD_MSG_NUM","LOCATION_NAME","CHARACTER_NAME","MESSAGE"
"0","100008","East Island: Autumnal Forest","Flapjacks-over-Eggs","*Flapjacks leads the group into the woods...*"
"0","1000005","East Island: Autumnal Forest","Dungeon Master",">>> *A band of adventurers begins their journey in the Autumnal Forest, a place of vibrant colors and gentle breezes. As they walk along a winding path, the leaves crunch softly underfoot, and the scent of pine and earth fills the air.*"
"0","1000020","East Island: Autumnal Forest","Flapjacks-over-Eggs","""A most impressive story, friend Axia.  Rocs are one of the more dangerous foes we may encounter on our journey."""
"0","1000030","East Island: Autumnal Forest","Aillig","""It was a beacon for certain."" *Aillig adds.*"
"0","1000040","East Island: Autumnal Forest","Flapjacks-over-Eggs","""Oh you were there as well?  Impressive."""
"0","1000050","East Island: Autumnal Forest","Saba","*Sidling out of the bushes, the small goblin joins the group without a word, her floppy hat pulled down over her face*"
"0","1000060","East Island: Autumnal Forest","Quinn","""I was there too!"" *Quinn pipes in.* ""Biggest thing I've ever seen. Set the nest ablaze and everything."" *Her ear turns to hear a bush rustling, and turns her head to see a smaller member join the group. She waves with a smile.*"
"0","1000070","East Island: Autumnal Forest","Mina'Khor","*Having finally worked up enough favor to be given the wiggle room to leave alone, Mina is wandering excitedly about the wilderness. More room to stretch her legs and things to see. Maybe things to fight! Stumbling on other people through the underbrush she stops short, grinning wide.* 

“Oh! More folk out here. Looking for a brawl too?”"
"0","1000080","East Island: Autumnal Forest","Ra’vek","*Bounding down the trail comes a stout dwarf.*  ""Hey there!  I heard a expedition was on it's way.  I could use a little action.  The name's Ra'vek."""
"0","1000090","East Island: Autumnal Forest","Saba","*Saba shyly waved back, seeming reluctant to talk*"
"0","1000100","East Island: Autumnal Forest","Saba","*Looking the group over, the goblin chooses the tallest and burliest member to walk behind in their shadow*"
"0","1000110","East Island: Autumnal Forest","Saba","*This would likely be the 7ft tall Mina*"
"0","1000120","East Island: Autumnal Forest","Mina'Khor","*Mina looks down behind her hearing a person and waves.* 

“I’ll make sure I don’t go taking too big a stride. You seem like good company.”"
"0","1000130","East Island: Autumnal Forest","Saba","*Saba smiles up at Mina in response, showing far too many razor-sharp teeth for such a small mouth, but there is no malice in it, just poor dentistry*"
"0","1000140","East Island: Autumnal Forest","Aillig","*Aillig smiles at the gathering group, thinking the more hands the better after the aforementioned Roc encounter.*"
"0","1000150","East Island: Autumnal Forest","Aillig","*As they walk, Aillig begins drawing, letting instinct guide him in the creation of a new experimental sigil. As he seals the paper, he gets the sense that this one may help one to be more bold as they face a foe in combat.*"
"0","1000160","East Island: Autumnal Forest","Saba","*Reaching under her hat, the goblin pulls an enormously plump grey rat out and holds him up toward Mina to show her, the rat yawning sleepily.*
“Pumpkin ratto.”"
"0","1000170","East Island: Autumnal Forest","Mina'Khor","“Is…is the rat named pumpkin or is it a pumpkin rat?” 

*She crouches to be more eye level with them both, her mass of pink curls still casting quite a shadow.*"
"0","1000180","East Island: Autumnal Forest","Aillig","*Looking around at the mist rising in the forest, Aillig pulls out a pair of old fashioned spectacles and slips them on after wiping condensation from the slightly iridescent lenses.*"
"0","1000190","East Island: Autumnal Forest","Saba","*Saba thinks for a second, then answers*
“Rat is Pumpkin, Goblin is Saba”"
"0","1000200","East Island: Autumnal Forest","Dungeon Master","> *The mist rolls in, and it comes with strange whispers and swirling patterns.  The mist swishes and twists, as if invisible shapes move within it.*
> 
> [In Sylvan]||""Pumpkin!  Pumpkin!  Pie?  Pumpkin pie?""||"
"0","1000210","East Island: Autumnal Forest","Quinn","*The shift to mist is concerning, but when the whispers start, Quinn's fur stands on end as she looks at the patterns, trying to discern what they mean but having no clues.* ""Is anyone else seeing this?"" *She asks, keeping a hand close to the dagger on her belt.*"
